what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1441357944911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1441357951423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441357953013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441357954205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441357972276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441357973123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1441358026791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358069780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358070862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358100080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358255231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358269821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358270700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358281250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358288427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358361852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358371288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1441358388091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358419721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358490329
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1441358506919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358514094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358856148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358858131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358977098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441358979680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359685212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359687176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1441359688294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359721616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359721856
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359721966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359722057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359738689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359741543
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359752139
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359754296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359755800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359758250
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359758336
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441359758337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359782348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359782586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1441359789147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359791175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359811718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441359814838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360433031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1441360454438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1441360470432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1441360471348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1441360472122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1441360472703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1441360473220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360494412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360499237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360515860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360539704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1441360549267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360566131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360566381
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441360566464
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441360566546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360569751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360571097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441360571184
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1441360571184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360573714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360656845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360662903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360699746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1441360707047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360744110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1441360773767
